Year,National League,OPS,,American League,OPS,,OPS_Leader
1950,Stan Musial+* (STL),1.034,,Larry Doby+* (CLE),0.986,,1.034
1949,Ralph Kiner+ (PIT),1.089,,Ted Williams+* (BOS),1.141,,1.141
1948,Stan Musial+* (STL),1.152,,Ted Williams+* (BOS),1.112,,1.152
1947,Ralph Kiner+ (PIT),1.055,,Ted Williams+* (BOS),1.133,,1.133
1946,Stan Musial+* (STL),1.021,,Ted Williams+* (BOS),1.164,,1.164
1945,Tommy Holmes* (BSN),0.997,,Snuffy Stirnweiss (NYY),0.862,,0.997
1944,Stan Musial+* (STL),0.990,,Bob Johnson (BOS),0.959,,0.990
1943,Stan Musial+* (STL),0.988,,Charlie Keller* (NYY),0.922,,0.988
1942,Mel Ott+* (NYG),0.912,,Ted Williams+* (BOS),1.147,,1.147
1941,Pete Reiser* (BRO),0.964,,Ted Williams+* (BOS),1.287,,1.287
1940,Johnny Mize+* (STL),1.039,,Hank Greenberg+ (DET),1.103,,1.103
1939,Johnny Mize+* (STL),1.070,,Jimmie Foxx+ (BOS),1.158,,1.158
1938,Johnny Mize+* (STL),1.036,,Jimmie Foxx+ (BOS),1.166,,1.166
1937,Joe Medwick+ (STL),1.056,,Lou Gehrig+* (NYY),1.116,,1.116
1936,Mel Ott+* (NYG),1.036,,Lou Gehrig+* (NYY),1.174,,1.174
1935,Arky Vaughan+* (PIT),1.098,,Jimmie Foxx+ (PHA),1.096,,1.098
1934,Ripper Collins# (STL),1.008,,Lou Gehrig+* (NYY),1.172,,1.172
1933,Chuck Klein+* (PHI),1.025,,Jimmie Foxx+ (PHA),1.153,,1.153
1932,Chuck Klein+* (PHI),1.050,,Jimmie Foxx+ (PHA),1.218,,1.218
1931,Rogers Hornsby+ (CHC),0.996,,Babe Ruth+* (NYY),1.195,,1.195
1930,Hack Wilson+ (CHC),1.177,,Babe Ruth+* (NYY),1.225,,1.225
1929,Rogers Hornsby+ (CHC),1.139,,Babe Ruth+* (NYY),1.128,,1.139
1928,Rogers Hornsby+ (BSN),1.130,,Babe Ruth+* (NYY),1.172,,1.172
1927,Rogers Hornsby+ (NYG),1.035,,Babe Ruth+* (NYY),1.258,,1.258
1926,Cy Williams* (PHI),0.986,,Babe Ruth+* (NYY),1.253,,1.253
1925,Rogers Hornsby+ (STL),1.245,,Ty Cobb+* (DET),1.066,,1.245
1924,Rogers Hornsby+ (STL),1.203,,Babe Ruth+* (NYY),1.252,,1.252
1923,Rogers Hornsby+ (STL),1.086,,Babe Ruth+* (NYY),1.309,,1.309
1922,Rogers Hornsby+ (STL),1.181,,Babe Ruth+* (NYY),1.106,,1.181
1921,Rogers Hornsby+ (STL),1.097,,Babe Ruth+* (NYY),1.359,,1.359
1920,Rogers Hornsby+ (STL),0.990,,Babe Ruth+* (NYY),1.379,,1.379
1919,Heinie Groh (CIN),0.823,,Babe Ruth+* (BOS),1.114,,1.114
1918,Edd Roush+* (CIN),0.823,,Babe Ruth+* (BOS),0.966,,0.966
1917,Rogers Hornsby+ (STL),0.868,,Ty Cobb+* (DET),1.014,,1.014
1916,Cy Williams* (CHC),0.831,,Tris Speaker+* (CLE),0.972,,0.972
1915,Gavvy Cravath (PHI),0.902,,Ty Cobb+* (DET),0.973,,0.973
1914,Gavvy Cravath (PHI),0.901,,Ty Cobb+* (DET),0.979,,0.979
1913,Gavvy Cravath (PHI),0.974,,Joe Jackson* (CLE),1.011,,1.011
1912,Heinie Zimmerman (CHC),0.989,,Ty Cobb+* (DET),1.040,,1.040
1911,Honus Wagner+ (PIT),0.930,,Ty Cobb+* (DET),1.086,,1.086
1910,Sherry Magee (PHI),0.952,,Ty Cobb+* (DET),1.004,,1.004
1909,Honus Wagner+ (PIT),0.909,,Ty Cobb+* (DET),0.947,,0.947
1908,Honus Wagner+ (PIT),0.957,,Ty Cobb+* (DET),0.844,,0.957
1907,Honus Wagner+ (PIT),0.921,,Ty Cobb+* (DET),0.848,,0.921
1906,Honus Wagner+ (PIT),0.875,,George Stone* (SLB),0.918,,0.918
1905,Cy Seymour* (CIN),0.988,,Elmer Flick+* (CLE),0.845,,0.988
1904,Honus Wagner+ (PIT),0.944,,Nap Lajoie+ (CLE),0.959,,0.959
1903,Fred Clarke+* (PIT),0.946,,Nap Lajoie+ (CLE),0.896,,0.946
1902,Honus Wagner+ (PIT),0.857,,Ed Delahanty+ (WSH),1.043,,1.043
1901,Ed Delahanty+ (PHI),0.955,,Nap Lajoie+ (PHA),1.106,,1.106
1900,Honus Wagner+ (PIT),1.007,,,,,1.007
1899,Ed Delahanty+ (PHI),1.046,,,,,1.046
1898,Billy Hamilton+* (BSN),0.933,,,,,0.933
1897,Willie Keeler+* (BLN),1.003,,,,,1.003
1896,Ed Delahanty+ (PHI),1.103,,,,,1.103
1895,Ed Delahanty+ (PHI),1.117,,,,,1.117
1894,Hugh Duffy+ (BSN),1.196,,,,,1.196
1893,Billy Hamilton+* (PHI),1.014,,,,,1.014
1892,Dan Brouthers+* (BRO),0.911,,American Association,OPS,,0.911
1891,Mike Tiernan* (NYG),0.882,,Dan Brouthers+* (BOS),0.983,,0.983
1890,Mike Tiernan* (NYG),0.880,,Denny Lyons (PHA),0.992,,0.992
1889,Fred Carroll (PIT),0.970,,Tommy Tucker# (BAL),0.934,,0.970
1888,Cap Anson+ (CHC),0.899,,John Reilly (CIN),0.864,,0.899
1887,Dan Brouthers+* (DTN),0.988,,Tip O'Neill (STL),1.18,,1.180
1886,Dan Brouthers+* (DTN),1.026,,Bob Caruthers* (STL),0.974,,1.026
1885,Dan Brouthers+* (BUF),0.951,,Pete Browning (LOU),0.923,,0.951
1884,Dan Brouthers+* (BUF),0.941,,John Reilly (CIN),0.918,,0.941
1883,Dan Brouthers+* (BUF),0.969,,Ed Swartwood* (PIT),0.869,,0.969
1882,Dan Brouthers+* (BUF),0.950,,Pete Browning (LOU),0.94,,0.950
1881,Cap Anson+ (CHC),0.952,,,,,0.952
1880,George Gore* (CHC),0.862,,,,,0.862
1879,John O'Rourke* (BSN),0.877,,,,,0.877
1878,Paul Hines (PRO),0.849,,,,,0.849
1877,Deacon White+* (BSN),0.950,,,,,0.950
1876,Ross Barnes (CHC),1.052,,,,,1.052
1875,Cal McVey (BOS),0.873,,,,,0.873
1874,Levi Meyerle (CHI),0.889,,,,,0.889
1873,Ross Barnes (BOS),1.080,,,,,1.080
1872,Ross Barnes (BOS),1.034,,,,,1.034
1871,Levi Meyerle (ATH),1.200,,,,,1.200
